"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Balanus nubilus","Darwin, 1854","","giant acorn barnacle","Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Thecostraca","Thoracicalcarea","Balanomorpha","","Balanoidea","Balanidae","","","Balanus","nubilus",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-09-09","","iNaturalist","",,215,"confirmed","observed","",49127,"ART"
"Balanus rostratus","Hoek, 1883","","large acorn barnacle","Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Thecostraca","Thoracicalcarea","Balanomorpha","","Balanoidea","Balanidae","","","Balanus","rostratus",,"",,"native","unlisted",,"1986-09-30","","RBCM","986-00197-026",,"2023-09-10","","iNaturalist","",,3,"confirmed","observed","",782656,"ART"
"Balticina willemoesi","(Kölliker, 1880)","","sea whip","Animalia","Cnidaria","","","Anthozoa","Octocorallia","","Scleralcyonacea","","Pennatuloidea","Balticinidae","","","Balticina","willemoesi",,"",,"native","unlisted",,"2007-12-09","Andy Lamb","PMLS","",,"2007-12-09","Andy Lamb","PMLS","",,1,"reported","unobserved","",1283181,"CNI"
"Bankia setacea","(Tryon, 1863)","","feathery shipworm","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Myida","","Pholadoidea","Teredinidae","Bankiinae","","Bankia","setacea",,"",,"native","unlisted",,"1999-10-02","Andy Lamb","PMLS","",,"2009-01-03","Andy Lamb","PMLS","",,3,"confirmed","unobserved","",347368,"MOL"
"Barentsia sp.","","","nodding heads","Animalia","Entoprocta","","","","","","","","","Barentsiidae","","","Barentsia","",,"",,"","",,"1985-12-07","Andy Lamb","PMLS","",,"1985-12-07","Andy Lamb","PMLS","",,1,"reported","unobserved","",211513,"MAR"
"Bathydrilus litoreus","Baker, 1983","","naidid worm","Animalia","Annelida","","","Clitellata","Oligochaeta","","Tubificida","Tubificina","","Naididae","Phallodrilinae","","Bathydrilus","litoreus",,"",,"native","unlisted",,"1979-07-05","Randy Baker","RBCM","991-00598-001",,"1979-07-05","Randy Baker","RBCM","991-00598-001",,1,"reported","unobserved","",957359,"WOR"
"Bathypera feminalba","Young & Vazquez, 1995","","tiny white tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Stolidobranchia","","","Pyuridae","","","Bathypera","feminalba",,"",,"native","unlisted",,"2009-04-04","Andy Lamb","PMLS","",,"2009-04-04","Andy Lamb","PMLS","",,1,"reported","unobserved","",800127,"TUN"
"Batillaria attramentaria","(G.B. Sowerby II, 1855)","","Japanese false cerith","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","","","Cerithioidea","Batillariidae","","","Batillaria","attramentaria",,"",,"non-native","unlisted",,"2019-05-05","","iNaturalist","",,"2020-08-11","","iNaturalist","",,2,"new 2019","observed","",68783,"MOL"
"Beringraja binoculata","(Girard, 1855)","","big skate","Animalia","Chordata","Vertebrata","","Elasmobranchii","Neoselachii","","Rajiformes","","","Rajidae","","","Beringraja","binoculata",,"",,"native","SNR",,"1995-02-23","Charlie Gibbs","PMLS","",,"1995-02-23","Charlie Gibbs","PMLS","",,1,"reported","unobserved","",607477,"FIS"
"Beroe abyssicola","Mortensen, 1927","","transluscent comb jelly","Animalia","Ctenophora","","","Nuda","","","Beroida","","","Beroidae","","","Beroe","abyssicola",,"",,"native","unlisted",,"1993-05-09","Charlie Gibbs","PMLS","",,"2023-07-09","","iNaturalist","",,16,"confirmed","observed","",1090851,"CNI"
"Berryteuthis magister","(Berry, 1913)","","schoolmaster armhook squid","Animalia","Mollusca","","","Cephalopoda","Coleoidea","Decapodiformes","Oegopsida","","Onychoteuthoidea","Gonatidae","","","Berryteuthis","magister",,"",,"native","unlisted",,"1956-01-29","W. Barraclough","RBCM","978-00057-002",,"1965-01-29","W. Barraclough","RBCM","978-00056-001",,3,"reported","unobserved","",432390,"MOL"
"Berthella chacei","(J.Q. Burch, 1944)","","white berthella","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Pleurobranchida","","Pleurobranchoidea","Pleurobranchidae","","","Berthella","chacei",,"",,"native","unlisted",,"2005-12-10","Andy Lamb","PMLS","",,"2019-03-17","Andy Lamb","PMLS","",,10,"confirmed","observed","",1081461,"MOL"
"Bispira pacifica","(Berkeley & Berkeley, 1954)","","twin-eyed feather duster","Animalia","Annelida","","","Polychaeta","Sedentaria","","Sabellida","","","Sabellidae","Sabellinae","","Bispira","pacifica",,"",,"","",,"1973-09-20","Andy Lamb","PMLS","",,"2016-07-24","Andy Lamb","PMLS","",,24,"confirmed","unobserved","",1199401,"WOR"
"Bolinopsis infundibulum","(O.F. Müller, 1776)","","lobed sea gooseberry","Animalia","Ctenophora","","","Tentaculata","","","Lobata","","","Bolinopsidae","","","Bolinopsis","infundibulum",,"",,"native","unlisted",,"1996-05-29","Charlie Gibbs","PMLS","",,"2019-05-04","Stefania Gorgopa","PMLS","",,22,"confirmed","unobserved","",492705,"CNI"
"Bolinopsis microptera","(A. Agassiz, 1865)","","lobed sea gooseberry","Animalia","Ctenophora","","","Tentaculata","","","Lobata","","","Bolinopsidae","","","Bolinopsis","microptera",,"",,"native","unlisted",,"2008-05-22","","iNaturalist","",,"2023-06-17","","iNaturalist","",,9,"confirmed","observed","",1419827,"CNI"
"Boltenia villosa","(Stimpson, 1864)","","hairy tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Stolidobranchia","","","Pyuridae","","","Boltenia","villosa",,"",,"native","unlisted",,"1969-02-22","Andy Lamb","PMLS","",,"2023-09-09","","iNaturalist","",,100,"confirmed","observed","",194568,"TUN"
"Bopyroides hippolytes","(Kröyer, 1838)","","shrimp parasitic isopod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Epicaridea","Bopyroidea","Bopyridae","Bopyrinae","","Bopyroides","hippolytes",,"",,"native","unlisted",,"2010-07-17","Andy Lamb","PMLS","",,"2010-07-17","Andy Lamb","PMLS","",,1,"reported","unobserved","",873867,"ART"
"Botrylloides violaceus","Oka, 1927","","lined compound ascidian","Animalia","Chordata","Tunicata","","Ascidiacea","","","Stolidobranchia","","","Styelidae","","","Botrylloides","violaceus",,"",,"non-native","unlisted",,"2007-10-14","Andy Lamb","PMLS","",,"2023-06-24","","iNaturalist","",,12,"confirmed","observed","",81776,"TUN"
"Bougainvillia sp.","","","cluster-tentacled jelly","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Anthoathecata","Filifera","","Bougainvilliidae","","","Bougainvillia","",,"",,"","",,"2008-10-05","Andy Lamb","PMLS","",,"2009-04-13","Andy Lamb","PMLS","",,5,"confirmed","unobserved","",247135,"CNI"
"Brachyistius frenatus","Gill, 1862","","kelp perch","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Cichliformes","","","Embiotocidae","","","Brachyistius","frenatus",,"",,"native","SNR",,"1985-12-07","Andy Lamb","PMLS","",,"2023-08-09","","iNaturalist","",,123,"confirmed","observed","",117553,"FIS"
"Brosmophycis marginata","(Ayres, 1854)","","red brotula","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Ophidiiformes","","","Bythitidae","","","Brosmophycis","marginata",,"",,"native","SNR",,"2010-05-30","Andy Lamb","PMLS","",,"2010-05-30","Andy Lamb","PMLS","",,1,"reported","unobserved","",215459,"FIS"
"Bugulina californica","(Robertson, 1905)","","spiral bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Buguloidea","Bugulidae","","","Bugulina","californica",,"",,"native","unlisted",,"1969-02-22","Andy Lamb","PMLS","",,"2023-05-28","","iNaturalist","",,40,"confirmed","observed","",551808,"LOP"
"Cadlina klasmalmbergi","Korshunova, Fletcher, Picton, Lundin, Kashio, N. Sanamyan, K. Sanamyan, Padula, Schrödl & Martynov, 2020","","Klas' yellow-rimmed nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Chromodoridoidea","Cadlinidae","","","Cadlina","klasmalmbergi",,"",,"native","unlisted",,"2013-10-13","","iNaturalist","",,"2018-06-19","","iNaturalist","",,2,"confirmed","observed","",1118728,"MOL"
"Cadlina luteomarginata","MacFarland, 1966","","yellow-rimmed nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Chromodoridoidea","Cadlinidae","","","Cadlina","luteomarginata",,"",,"native","unlisted",,"1985-07-29","Andy Lamb","PMLS","",,"2023-10-08","","iNaturalist","",,200,"confirmed","observed","",50146,"MOL"
"Cadlina modesta","MacFarland, 1966","","modest cadlina","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Chromodoridoidea","Cadlinidae","","","Cadlina","modesta",,"",,"native","unlisted",,"2014-04-08","","iNaturalist","",,"2018-06-18","","iNaturalist","",,3,"confirmed","observed","",47400,"MOL"
"Cadlina sylviaearleae","Korshunova, Fletcher, Picton, Lundin, Kashio, N. Sanamyan, K. Sanamyan, Padula, Schrödl & Martynov, 2020","","yellow-rimmed nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Chromodoridoidea","Cadlinidae","","","Cadlina","sylviaearleae",,"",,"native","unlisted",,"2019-05-04","","iNaturalist","",,"2023-10-08","","iNaturalist","",,6,"new 2019","observed","",1119320,"MOL"
"Caliraja rhina","(Jordan & Gilbert, 1880)","","longnose skate","Animalia","Chordata","Vertebrata","","Elasmobranchii","Neoselachii","","Rajiformes","","","Rajidae","","","Caliraja","rhina",,"",,"native","SNR",,"2010-11-12","Andy Lamb","PMLS","",,"2010-11-12","Andy Lamb","PMLS","",,1,"reported","unobserved","",1433668,"FIS"
"Calliostoma annulatum","(Lightfoot, 1786)","","purple-ringed topsnail","Animalia","Mollusca","","","Gastropoda","Vetigastropoda","","Trochida","","Trochoidea","Calliostomatidae","Calliostomatinae","","Calliostoma","annulatum",,"",,"native","unlisted",,"1986-09-30","","RBCM","986-00197-040",,"2009-05-30","Andy Lamb","PMLS","",,5,"confirmed","unobserved","",121181,"MOL"
"Calliostoma canaliculatum","(Lightfoot, 1786)","","channeled topsnail","Animalia","Mollusca","","","Gastropoda","Vetigastropoda","","Trochida","","Trochoidea","Calliostomatidae","Calliostomatinae","","Calliostoma","canaliculatum",,"",,"","",,"2021-04-20","","iNaturalist","",,"2023-09-09","","iNaturalist","",,9,"new 2021","observed","",131198,"MOL"
"Calliostoma ligatum","(Gould, 1849)","","blue topsnail","Animalia","Mollusca","","","Gastropoda","Vetigastropoda","","Trochida","","Trochoidea","Calliostomatidae","Calliostomatinae","","Calliostoma","ligatum",,"",,"native","unlisted",,"1985-07-29","Andy Lamb","PMLS","",,"2023-06-17","","iNaturalist","",,132,"confirmed","observed","",129920,"MOL"
"Calliostoma variegatum","P. P. Carpenter, 1864","","","Animalia","Mollusca","","","Gastropoda","Vetigastropoda","","Trochida","","Trochoidea","Calliostomatidae","Calliostomatinae","","Calliostoma","variegatum",,"",,"","",,"2008-05-22","","iNaturalist","",,"2008-05-24","","iNaturalist","",,2,"confirmed","observed","",1215044,"MOL"
"Cancer productus","Randall, 1840","","red rock crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Cancroidea","Cancridae","","","Cancer","productus",,"",,"native","unlisted",,"1985-12-07","Andy Lamb","PMLS","",,"2023-08-30","","iNaturalist","",,172,"confirmed","observed","",47826,"ART"
"Caprella alaskana","Mayer, 1903","","Alaskan skeleton shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Caprelloidea","Caprellidae","Caprellinae","","Caprella","alaskana",,"",,"native","unlisted",,"2008-06-21","Andy Lamb","PMLS","",,"2019-05-04","Emily Adamczyk","PMLS","",,2,"confirmed","unobserved","",508889,"ART"
"Caprella mutica","Schurin, 1935","","Japanese skeleton shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Caprelloidea","Caprellidae","Caprellinae","","Caprella","mutica",,"",,"native","unlisted",,"2019-05-04","","iNaturalist","",,"2023-06-16","","iNaturalist","",,5,"new 2019","observed","",64634,"ART"
"Caryophyllia (Caryophyllia) alaskensis","Vaughan, 1941","","round tan cup coral","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Scleractinia","","","Caryophylliidae","","","Caryophyllia","alaskensis",,"",,"native","unlisted",,"2009-02-14","Andy Lamb","PMLS","",,"2019-05-04","Stefania Gorgopa","PMLS","",,3,"reported","unobserved","",459907,"CNI"
"Catablema vesicarium nodulosum","Bigelow, 1913","","","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Anthoathecata","Filifera","","Pandeidae","","","Catablema","vesicarium",,"nodulosum",,"native","unlisted",,"2021-04-11","","iNaturalist","",,"2021-04-18","","iNaturalist","",,8,"new 2021","observed","",888777,"CNI"
"Catriona columbiana","(O'Donoghue, 1922)","","British Columbia aeolid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Fionoidea","Trinchesiidae","","","Catriona","columbiana",,"",,"native","unlisted",,"2014-04-09","","iNaturalist","",,"2014-04-09","","iNaturalist","",,1,"reported","observed","",48973,"MOL"
"Caulibugula californica","Robertson, 1905","","parasol bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Buguloidea","Bugulidae","","","Caulibugula","californica",,"",,"native","unlisted",,"2007-12-15","Andy Lamb","PMLS","",,"2007-12-15","Andy Lamb","PMLS","",,1,"reported","unobserved","",802658,"LOP"
"Cellaria diffusa","Robertson, 1905","","spindly rabbit-ear bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Cellarioidea","Cellariidae","","","Cellaria","diffusa",,"",,"native","unlisted",,"1995-02-24","Charlie Gibbs","PMLS","",,"2008-09-19","Andy Lamb","PMLS","",,4,"confirmed","unobserved","",196077,"LOP"
"Celleporina robertsoniae","(Canu & Bassler, 1923)","","rusty bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Celleporoidea","Celleporidae","","","Celleporina","robertsoniae",,"",,"native","unlisted",,"1997-04-15","Donna Gibbs","PMLS","",,"1999-07-31","Charlie Gibbs","PMLS","",,2,"reported","unobserved","misspelled Celleprina robertsoni",485340,"LOP"
"Ceramaster patagonicus","(Sladen, 1889)","","orange cookie star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Valvatacea","Valvatida","","","Goniasteridae","","","Ceramaster","patagonicus",,"",,"native","unlisted",,"2008-05-22","","iNaturalist","",,"2009-10-03","","iNaturalist","",,4,"confirmed","observed","",537859,"ECH"
"Ceratostoma foliatum","(Gmelin, 1791)","","leafy hornmouth","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Muricoidea","Muricidae","Ocenebrinae","","Ceratostoma","foliatum",,"",,"native","unlisted",,"1981-05-31","Andy Lamb","PMLS","",,"2023-10-08","","iNaturalist","",,222,"confirmed","observed","",116687,"MOL"
"Cerberilla mosslandica","McDonald & Nybakken, 1975","","brown burrowing aeolid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Aeolidioidea","Aeolidiidae","","","Cerberilla","mosslandica",,"",,"native","unlisted",,"2018-06-19","","iNaturalist","",,"2018-06-19","","iNaturalist","",,1,"new 2018","observed","",50477,"MOL"
"Cerebratulus sp.","","","sandy shore proboscis-worm","Animalia","Nemertea","","","Pilidiophora","","","Heteronemertea","","","Lineidae","","","Cerebratulus","",,"",,"","",,"2019-05-30","","iNaturalist","",,"2019-05-30","","iNaturalist","",,1,"new 2019","observed","",192649,"WOR"
"Chaetopterus variopedatus complex","Cuvier, 1827","","U-shaped parchment tubeworm","Animalia","Annelida","","","Polychaeta","Sedentaria","","","","","Chaetopteridae","","","Chaetopterus","variopedatus",,"",,"","",,"2006-03-05","Andy Lamb","PMLS","",,"2006-03-05","Andy Lamb","PMLS","",,1,"reported","unobserved","",216631,"WOR"
"Chelyosoma productum","Stimpson, 1864","","disc-top tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Phlebobranchia","","","Corellidae","","","Chelyosoma","productum",,"",,"native","unlisted",,"1969-02-22","Andy Lamb","PMLS","",,"2012-10-06","Andy Lamb","PMLS","",,35,"confirmed","unobserved","",428793,"TUN"
"Chirolophis decoratus","(Jordan & Snyder, 1902)","","decorated warbonnet","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Zoarcoidei","","Stichaeidae","Chirolophinae","","Chirolophis","decoratus",,"",,"native","SNR",,"1993-08-16","Andy Lamb","PMLS","",,"2023-08-09","","iNaturalist","",,31,"confirmed","observed","",216742,"FIS"
"Chirolophis nugator","(Jordan & Williams, 1895)","","mosshead warbonnet","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Zoarcoidei","","Stichaeidae","Chirolophinae","","Chirolophis","nugator",,"",,"native","SNR",,"1981-05-31","Andy Lamb","PMLS","",,"2023-10-04","","iNaturalist","",,46,"confirmed","observed","",216743,"FIS"
"Chitonotus pugetensis","(Steindachner, 1876)","","roughback sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Cottoidei","","Psychrolutidae","Icelinae","","Chitonotus","pugetensis",,"",,"native","SNR",,"1985-12-07","Andy Lamb","PMLS","",,"2008-07-19","Andy Lamb","PMLS","",,5,"confirmed","unobserved","",216746,"FIS"
"Chlamys hastata","(G.B. Sowerby II, 1842)","","spiny pink scallop","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Pectinida","","Pectinoidea","Pectinidae","Pedinae","Chlamydini","Chlamys","hastata",,"",,"native","unlisted",,"1962-01-01","Dan Quayle","RBCM","989-00923-001",,"2023-10-08","","iNaturalist","",,131,"confirmed","observed","",180013,"MOL"
"Chlamys rubida","(Hinds, 1845)","","smooth pink scallop","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Pectinida","","Pectinoidea","Pectinidae","Pedinae","Chlamydini","Chlamys","rubida",,"",,"native","unlisted",,"1961-05-13","Dan Quayle","RBCM","982-00207-003",,"2008-06-15","Andy Lamb","PMLS","",,4,"confirmed","unobserved","",84496,"MOL"
"Chone aurantiaca","(Johnson, 1901)","","orange feather-duster","Animalia","Annelida","","","Polychaeta","Sedentaria","","Sabellida","","","Sabellidae","Sabellinae","","Chone","aurantiaca",,"",,"native","unlisted",,"1999-05-04","Andy Lamb","PMLS","",,"2023-05-28","","iNaturalist","",,43,"confirmed","observed","",356415,"WOR"
